2,2.19743
31,31.5902
24,24.4466
178,178.924
50,50.6561
77,77.0496
21,21.9907
386,386.89
1,1.06332
31,31.956
19,19.9268
177,177.064
57,57.6759
92,92.9358
6,6.21922
386,386.89
1,1.26104
31,31.7516
18,18.5229
177,177.781
58,58.3297
91,91.8508
7,7.34467
386,386.89
1,1.4496
31,31.5556
17,17.8965
161,161.869
81,81.3999
86,86.4511
6,6.22191
386,386.89
1,1.94113
31,31.0743
17,17.3303
176,176.792
60,60.4541
73,73.4414
25,25.8022
386,386.89
0,0.761502
32,32.2334
18,18.3342
177,177.166
58,58.5107
75,75.3524
24,24.4809
386,386.89
1,1.71153
31,31.3019
17,17.8818
175,175.521
66,66.8427
74,74.0458
19,19.5371
386,386.89
1,1.7534
31,31.263
16,16.0633
162,162.607
74,75.0734
82,82.8118
17,17.2718
386,386.89
0,0.673522
32,32.341
17,17.3081
181,181.424
55,55.2644
80,80.1939
19,19.6364
386,386.89
1,1.66338
31,31.3508
16,16.7671
177,177.186
60,60.2723
99,99.2791
0,0.324607
386,386.891
0,0.804075
32,32.2093
20,20.4288
174,174.373
59,59.5812
88,88.0324
11,11.4092
386,386.89
1,1.52031
31,31.4912
19,19.1669
164,164.2
71,71.0987
75,75.9178
23,23.4473
386,386.89
639491500,643573500,637554500,641111000,645430000,639569000,641370000,638478000,641630500,640555000,643304500,639975500
