=== Unused Algorithms ===
# usecount  child% type   lines tst/src tstcnt codebase testinfo istest versioninfo deprecated name                                    
          0   100% C++     1257    0.75      8 ours            -    -   superseded           - IntegratePeaksMD.v1                     
          0   100% C++     1468    0.32     10 ours            -    -   superseded  deprecated LoadEventPreNexus.v1                    
          0   100% C++     1477    1.06     19 ours            -    -             -          - Stitch1D.v1                             
          0   100% C++     2358    0.46     21 ours            -    -             -          - SCARFTomoReconstruction.v1              
          0   100% C++     2755    0.03      3 ours            -    -   superseded  deprecated FilterEventsByLogValuePreNexus.v1       
          0   100% C++     3789    1.00      0 ours            -    -             -          - RefinePowderInstrumentParameters.v1     
          0   100% Python    41    0.00      0 ours     untested    -             -          - ExampleRedStep.v1                       
          0   100% Python    47    0.00      0 ours     untested    -             -          - VisionLoadDetectorTable.v1              
          0   100% Python    81    0.00      0 ours     untested    -             -          - PearlMCAbsorption.v1                    
          0   100% Python    82    0.39      1 ours            -    -             -          - SetDetScale.v1                          
          0   100% Python    83    0.00      0 ours     untested    -             -          - MuscatData.v1                           
          0   100% Python   104    0.00      0 ours     untested    -             -          - MuscatFunc.v1                           
          0   100% Python   133    0.00      0 ours     untested    -             -          - SANSPatchSensitivity.v1                 
          0   100% Python   134    0.00      0 ours     untested    -   superseded           - GetEiMonDet.v1                          
          0   100% Python   160    0.88      7 ours            -    -             -          - ExtractMonitors.v1                      
          0   100% Python   196    0.62      1 ours            -    -             -          - DSFinterp.v1                            
          0   100% Python   233    0.00      0 ours     untested    -             -          - SelectPowderDiffPeaks.v1                
          0   100% Python   256    0.00      0 ours     untested    -             -          - SANSBeamSpreaderTransmission.v1         
          0   100% Python   279    0.00      0 ours     untested    -             -          - BASISReduction31.v1                     
          0   100% Python   304    0.09      1 ours            -    -             -          - AngularAutoCorrelationsSingleAxis.v1    
          0   100% Python   304    0.34      3 ours            -    -   superseded           - ResNorm.v1                              
          0   100% Python   327    0.00      0 ours     untested    -             -          - USANSReduction.v1                       
